ステーション名,住所,クラス,車種,コメント
タイムズたまプラーザ第１４,神奈川県横浜市青葉区新石川2-4,ミドル,CX-30 2000（M-ハイブリッド）,ジュニアシートなし
タイムズたまプラーザ第６,神奈川県横浜市青葉区美しが丘1-11,ベーシック,オーラ e-POWER,
タイムズたまプラーザ第６,神奈川県横浜市青葉区美しが丘1-11,ベーシック,ノート e-POWER,
タイムズたまプラーザ第６,神奈川県横浜市青葉区美しが丘1-11,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年） ジュニアシートなし
タイムズたまプラーザ第６,神奈川県横浜市青葉区美しが丘1-11,ベーシック,ライズ,A200A型（2019年-2021年） ジュニアシートなし
タイムズたまプラーザ第６,神奈川県横浜市青葉区美しが丘1-11,ミドル,シエンタ,NSP170G型/NCP175G型（2015年-2022年）
タイムズアポラン藤が丘アクア館,神奈川県横浜市青葉区藤が丘1-36,ベーシック,N BOX,ジュニアシートなし
タイムズアポラン藤が丘アクア館,神奈川県横浜市青葉区藤が丘1-36,ベーシック,ウェイク,
タイムズアポラン藤が丘アクア館,神奈川県横浜市青葉区藤が丘1-36,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年）
タイムズアポラン藤が丘アクア館,神奈川県横浜市青葉区藤が丘1-36,ベーシック,フィット,
タイムズアポラン藤が丘アクア館,神奈川県横浜市青葉区藤が丘1-36,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズアポラン藤が丘アクア館,神奈川県横浜市青葉区藤が丘1-36,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズアポラン藤が丘アクア館,神奈川県横浜市青葉区藤が丘1-36,ミドル,シエンタ,NSP170G型/NCP175G型（2015年-2022年）
タイムズアポラン藤が丘アクア館,神奈川県横浜市青葉区藤が丘1-36,プレミアム,ノア（ハイブリッド）,車両のトラブル、事故、無断延長などでご利用いただけない場合、同一車種での代替車両がご提供できません。あらかじめご了承ください。ジュニアシートなし
タイムズアポラン藤が丘アクア館,神奈川県横浜市青葉区藤が丘1-36,プレミアム,ノア（ハイブリッド）,車両のトラブル、事故、無断延長などでご利用いただけない場合、同一車種での代替車両がご提供できません。あらかじめご了承ください。ジュニアシートなし
タイムズパレット桜台店,神奈川県横浜市青葉区桜台27,ベーシック,MAZDA2,DJ型（2019年-2023年）
タイムズパレット桜台店,神奈川県横浜市青葉区桜台27,ベーシック,ヤリスクロス（ハイブリッド）,
タイムズパレット桜台店,神奈川県横浜市青葉区桜台27,ミドル,フリード,
タイムズ下谷本町,神奈川県横浜市青葉区下谷本町45,ベーシック,アクア（ハイブリッド）,ジュニアシートなし
